Altium Designer Pick and Place Locations
D:\It's_work\Scope\Scope_evtA\Project Outputs for Scope_evtA\Pick Place Output\Pick Place for EVT_A(Solder_ADC).txt

========================================================================================================================
File Design Information:

Date:       06/04/24
Time:       22:52
Revision:   96a065bc237926ecf34b901cf5ad457e30612ea3
Variant:    Solder_ADC
Units used: mil

Designator Comment            Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
J1         TYPEC-309-ACP16L65 TopLayer    217179-0001     1620.079      787.402       90       "USB Connectors Top-Mnt SMT 16Ckt Type C Rec.
"                                                           
R47        "22 R"             BottomLayer R0603           821.604       294.278       0        "Res SMD
"                                                                                                
R43        "22 R"             TopLayer    R0603           625.984       362.205       270      "Res SMD
"                                                                                                
R44        "22 R"             BottomLayer R0603           1381.890      82.677        90       "Res SMD
"                                                                                                
R46        "22 R"             TopLayer    R0603           1283.465      1055.118      270      "Res SMD
"                                                                                                
R45        "22 R"             BottomLayer R0603           1295.276      82.677        90       "Res SMD
"                                                                                                
R39        "22 R"             BottomLayer R0603           821.604       207.664       0        "Res SMD
"                                                                                                
R38        "22 R"             BottomLayer R0603           821.604       121.050       0        "Res SMD
"                                                                                                
R37        "22 R"             BottomLayer R0603           921.260       118.110       90       "Res SMD
"                                                                                                
R35        "22 R"             TopLayer    R0603           1039.370      51.181        0        "Res SMD
"                                                                                                
R34        "22 R"             BottomLayer R0603           1610.236      1307.087      270      "Res SMD
"                                                                                                
R33        "22 R"             TopLayer    R0603           1704.724      1409.449      0        "Res SMD
"                                                                                                
R32        "22 R"             TopLayer    R0603           1704.724      1326.772      0        "Res SMD
"                                                                                                
R31        "22 R"             TopLayer    R0603           1704.724      1240.158      0        "Res SMD
"                                                                                                
R21        0R                 BottomLayer R0603           1496.063      1346.457      270      "Res SMD"                                                                                                  
C79        0.1u               BottomLayer C0603           1153.543      98.425        270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
